category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.pl_PL,name.cs_CZ,name.sk_SK,meta_title.pl_PL,meta_title.cs_CZ,meta_title.sk_SK,meta_description.pl_PL,meta_description.cs_CZ,meta_description.sk_SK,meta_keywords.pl_PL,meta_keywords.cs_CZ,meta_keywords.sk_SK,category_image_name.pl_PL,category_image_name.cs_CZ,category_image_name.sk_SK
SUB_11003_04,SUB_11003,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,1,1,1,1,0,1,,Catalog (default),,Koszule damskie,Damen-Shirts,Damen-Shirts,Koszule damskie,Damen-Shirts,Damen-Shirts,Koszule damskie,Damen-Shirts,Damen-Shirts,Koszule damskie,Damen-Shirts,Damen-Shirts,,,
SUB_11003_05,SUB_11003,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,1,1,1,1,0,1,,Catalog (default),,Sukienki,Kleider,Kleider,Sukienki,Kleider,Kleider,Sukienki,Kleider,Kleider,Sukienki,Kleider,Kleider,,,
SUB_11003_06,SUB_11003,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,1,1,1,1,0,1,,Catalog (default),,Swetry damskie,Damenpullover,Damenpullover,Swetry damskie,Damenpullover,Damenpullover,Swetry damskie,Damenpullover,Damenpullover,Swetry damskie,Damenpullover,Damenpullover,,,
SUB_11003_07,SUB_11003,Skirts,Skirts,Skirts,Skirts,1,1,1,1,0,1,,Catalog (default),,Spódnice,Röcke,Röcke,Spódnice,Röcke,Röcke,Spódnice,Röcke,Röcke,Spódnice,Röcke,Röcke,,,
SUB_11003_08,SUB_11003,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,1,1,1,1,0,1,,Catalog (default),,Bielizna damska,Damenunterwäsche,Damenunterwäsche,Bielizna damska,Damenunterwäsche,Damenunterwäsche,Bielizna damska,Damenunterwäsche,Damenunterwäsche,Bielizna damska,Damenunterwäsche,Damenunterwäsche,,,
SUB_11003_09,SUB_11003,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,1,1,1,1,0,1,,Catalog (default),,Stroje kąpielowe damskie,Damenbademode,Damenbademode,Stroje kąpielowe damskie,Damenbademode,Damenbademode,Stroje kąpielowe damskie,Damenbademode,Damenbademode,Stroje kąpielowe damskie,Damenbademode,Damenbademode,,,
SUB_11003_10,SUB_11003,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,1,1,1,1,0,1,,Catalog (default),,Bielizna nocna damska,Damennachtwäsche,Damennachtwäsche,Bielizna nocna damska,Damennachtwäsche,Damennachtwäsche,Bielizna nocna damska,Damennachtwäsche,Damennachtwäsche,Bielizna nocna damska,Damennachtwäsche,Damennachtwäsche,,,
SUB_11004,MC_11001,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,1,1,1,1,0,1,,Catalog (default),,Odzież męska,Bekleidung für Herren,Bekleidung für Herren,Odzież męska,Bekleidung für Herren,Bekleidung für Herren,Odzież męska,Bekleidung für Herren,Bekleidung für Herren,Odzież męska,Bekleidung für Herren,Bekleidung für Herren,,,
SUB_11004_01,SUB_11004,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,1,1,1,1,0,1,,Catalog (default),,Kurtki i płaszcze męskie,Herrenjacken & Herrenmäntel,Herrenjacken & Herrenmäntel,Kurtki i płaszcze męskie,Herrenjacken & Herrenmäntel,Herrenjacken & Herrenmäntel,Kurtki i płaszcze męskie,Herrenjacken & Herrenmäntel,Herrenjacken & Herrenmäntel,Kurtki i płaszcze męskie,Herrenjacken & Herrenmäntel,Herrenjacken & Herrenmäntel,,,
SUB_11004_02,SUB_11004,Pants for men,Pants for men,Pants for men,Pants for men,1,1,1,1,0,1,,Catalog (default),,Spodnie męskie,Herrenhosen,Herrenhosen,Spodnie męskie,Herrenhosen,Herrenhosen,Spodnie męskie,Herrenhosen,Herrenhosen,Spodnie męskie,Herrenhosen,Herrenhosen,,,
SUB_11004_03,SUB_11004,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,1,1,1,1,0,1,,Catalog (default),,Koszulki męskie,Herren-Shirts,Herren-Shirts,Koszulki męskie,Herren-Shirts,Herren-Shirts,Koszulki męskie,Herren-Shirts,Herren-Shirts,Koszulki męskie,Herren-Shirts,Herren-Shirts,,,
SUB_11004_04,SUB_11004,Shirts for men,Shirts for men,Shirts for men,Shirts for men,1,1,1,1,0,1,,Catalog (default),,Koszule męskie,Herrenhemden,Herrenhemden,Koszule męskie,Herrenhemden,Herrenhemden,Koszule męskie,Herrenhemden,Herrenhemden,Koszule męskie,Herrenhemden,Herrenhemden,,,
SUB_11004_05,SUB_11004,Sweater for men,Sweater for men,Sweater for men,Sweater for men,1,1,1,1,0,1,,Catalog (default),,Swetry męskie,Herrenpullover,Herrenpullover,Swetry męskie,Herrenpullover,Herrenpullover,Swetry męskie,Herrenpullover,Herrenpullover,Swetry męskie,Herrenpullover,Herrenpullover,,,
SUB_11004_06,SUB_11004,Underwear for men,Underwear for men,Underwear for men,Underwear for men,1,1,1,1,0,1,,Catalog (default),,Bielizna męska,Herrenunterwäsche,Herrenunterwäsche,Bielizna męska,Herrenunterwäsche,Herrenunterwäsche,Bielizna męska,Herrenunterwäsche,Herrenunterwäsche,Bielizna męska,Herrenunterwäsche,Herrenunterwäsche,,,
SUB_11004_07,SUB_11004,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,1,1,1,1,0,1,,Catalog (default),,Stroje kąpielowe męskie,Herrenbademode,Herrenbademode,Stroje kąpielowe męskie,Herrenbademode,Herrenbademode,Stroje kąpielowe męskie,Herrenbademode,Herrenbademode,Stroje kąpielowe męskie,Herrenbademode,Herrenbademode,,,
SUB_11004_08,SUB_11004,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,1,1,1,1,0,1,,Catalog (default),,Bielizna nocna męska,Herrennachtwäsche,Herrennachtwäsche,Bielizna nocna męska,Herrennachtwäsche,Herrennachtwäsche,Bielizna nocna męska,Herrennachtwäsche,Herrennachtwäsche,Bielizna nocna męska,Herrennachtwäsche,Herrennachtwäsche,,,
