category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.nb_NO,name.fi_FI,name.da_DK,name.sv_SE,meta_title.nb_NO,meta_title.fi_FI,meta_title.da_DK,meta_title.sv_SE,meta_description.nb_NO,meta_description.fi_FI,meta_description.da_DK,meta_description.sv_SE,meta_keywords.nb_NO,meta_keywords.fi_FI,meta_keywords.da_DK,meta_keywords.sv_SE,category_image_name.nb_NO,category_image_name.fi_FI,category_image_name.da_DK,category_image_name.sv_SE
SUB_11004,MC_11001,Clothing for Men,Clothing for Men,Clothing for Men,Clothing for Men,1,1,1,1,0,1,,Catalog (default),,Klær til herrer,Clothing for Men,Clothing for Men,Clothing for Men,Klær til herrer,Clothing for Men,Clothing for Men,Clothing for Men,Klær til herrer,Clothing for Men,Clothing for Men,Clothing for Men,Klær til herrer,Clothing for Men,Clothing for Men,Clothing for Men,,,,
SUB_11004_01,SUB_11004,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,1,1,1,1,0,1,,Catalog (default),,Jakker og frakker til herre,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jakker og frakker til herre,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jakker og frakker til herre,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,Jakker og frakker til herre,Jacket & Coats for men,Jacket & Coats for men,Jacket & Coats for men,,,,
SUB_11004_02,SUB_11004,Pants for men,Pants for men,Pants for men,Pants for men,1,1,1,1,0,1,,Catalog (default),,Bukser til herre,Pants for men,Pants for men,Pants for men,Bukser til herre,Pants for men,Pants for men,Pants for men,Bukser til herre,Pants for men,Pants for men,Pants for men,Bukser til herre,Pants for men,Pants for men,Pants for men,,,,
SUB_11004_03,SUB_11004,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-Shirts for men,1,1,1,1,0,1,,Catalog (default),,T-skjorter til herre,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-skjorter til herre,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-skjorter til herre,T-Shirts for men,T-Shirts for men,T-Shirts for men,T-skjorter til herre,T-Shirts for men,T-Shirts for men,T-Shirts for men,,,,
SUB_11004_04,SUB_11004,Shirts for men,Shirts for men,Shirts for men,Shirts for men,1,1,1,1,0,1,,Catalog (default),,Skjorter til herre,Shirts for men,Shirts for men,Shirts for men,Skjorter til herre,Shirts for men,Shirts for men,Shirts for men,Skjorter til herre,Shirts for men,Shirts for men,Shirts for men,Skjorter til herre,Shirts for men,Shirts for men,Shirts for men,,,,
SUB_11004_05,SUB_11004,Sweater for men,Sweater for men,Sweater for men,Sweater for men,1,1,1,1,0,1,,Catalog (default),,Genser til herre,Sweater for men,Sweater for men,Sweater for men,Genser til herre,Sweater for men,Sweater for men,Sweater for men,Genser til herre,Sweater for men,Sweater for men,Sweater for men,Genser til herre,Sweater for men,Sweater for men,Sweater for men,,,,
SUB_11004_06,SUB_11004,Underwear for men,Underwear for men,Underwear for men,Underwear for men,1,1,1,1,0,1,,Catalog (default),,Undertøy herrer,Underwear for men,Underwear for men,Underwear for men,Undertøy herrer,Underwear for men,Underwear for men,Underwear for men,Undertøy herrer,Underwear for men,Underwear for men,Underwear for men,Undertøy herrer,Underwear for men,Underwear for men,Underwear for men,,,,
SUB_11004_07,SUB_11004,Swimwear for men,Swimwear for men,Swimwear for men,Swimwear for men,1,1,1,1,0,1,,Catalog (default),,Badetøy til herre,Swimwear for men,Swimwear for men,Swimwear for men,Badetøy til herre,Swimwear for men,Swimwear for men,Swimwear for men,Badetøy til herre,Swimwear for men,Swimwear for men,Swimwear for men,Badetøy til herre,Swimwear for men,Swimwear for men,Swimwear for men,,,,
SUB_11004_08,SUB_11004,Sleepwear for men,Sleepwear for men,Sleepwear for men,Sleepwear for men,1,1,1,1,0,1,,Catalog (default),,Nattøy og pyjamas til herre,Sleepwear for men,Sleepwear for men,Sleepwear for men,Nattøy og pyjamas til herre,Sleepwear for men,Sleepwear for men,Sleepwear for men,Nattøy og pyjamas til herre,Sleepwear for men,Sleepwear for men,Sleepwear for men,Nattøy og pyjamas til herre,Sleepwear for men,Sleepwear for men,Sleepwear for men,,,,
SUB_11004_09,SUB_11004,Suits for men,Suits for men,Suits for men,Suits for men,1,1,1,1,0,1,,Catalog (default),,Dresser til herre,Suits for men,Suits for men,Suits for men,Dresser til herre,Suits for men,Suits for men,Suits for men,Dresser til herre,Suits for men,Suits for men,Suits for men,Dresser til herre,Suits for men,Suits for men,Suits for men,,,,
SUB_11005,MC_11001,Clothes for Kids,Clothes for Kids,Clothes for Kids,Clothes for Kids,1,1,1,1,0,1,,Catalog (default),,Barneklær,Clothes for Kids,Clothes for Kids,Clothes for Kids,Barneklær,Clothes for Kids,Clothes for Kids,Clothes for Kids,Barneklær,Clothes for Kids,Clothes for Kids,Clothes for Kids,Barneklær,Clothes for Kids,Clothes for Kids,Clothes for Kids,,,,
